id	ref	cat3	slug
9918	TAPP CPP 23RFT	classiques	adams-professionnel-philharmonique-23pouces-cuivre-martele-profond
9919	TAPP CPP 20RFT	classiques	adams-professionnel-philharmonique-20pouces-cuivre-martele-profond
10237	TASY CL 32R+H	classiques	adams-symphonic-ii-32pouces-cuivre-lisse-parabolique-housse
10238	TASY CL 29R+H	classiques	adams-symphonic-ii-29pouces-cuivre-lisse-parabolique-housse
10239	TASY CL 26R+H	classiques	adams-symphonic-ii-26pouces-cuivre-lisse-parabolique-housse
10240	TASY CL 23R+H	classiques	adams-symphonic-ii-23pouces-cuivre-lisse-parabolique-housse
10241	TASY CL 20R+H	classiques	adams-symphonic-ii-20pouces-cuivre-lisse-parabolique-housse
10242	TARE CL 32R+H	classiques	timbale-adams-revolution-cuivre-lisse-parabolique-32-pouces-housse
10243	TARE CL 29R+H	classiques	adams-revolution-29-pouces-cuivre-lisse-parabolique-housse
10244	TARE CL 26R+H	classiques	adams-revolution-26-pouces-cuivre-lisse-parabolique-housse
10245	TARE CL 23R+H	classiques	adams-revolution-23-pouces-cuivre-lisse-parabolique-housse
10247	TARE CL 20R+H	classiques	adams-revolution-20-pouces-cuivre-lisse-parabolique-housse
10252	TMS C0-J2	classiques	jeu-de-2-timbales-majestic-symphonic-cuivre-lisse-profond-29-pouces-26-pouces
10336	TAC 0201	accessoires	plateau-de-protection-pour-timbale-adams-32-pouces
10338	TAC 0203	accessoires	plateau-de-protection-pour-timbale-adams-26-pouces
10339	TAC 0204	accessoires	plateau-de-protection-pour-timbale-adams-23-pouces
10340	TAC 0205	accessoires	plateau-de-protection-pour-timbale-adams-20-pouces
10341	TAC 0211	accessoires	plateau-de-protection-pour-timbale-premier-elite-32-pouces
10342	TAC 0212	accessoires	plateau-de-protection-pour-timbale-premier-elite-30-pouces
10343	TAC 0213	accessoires	plateau-de-protection-pour-timbale-premier-elite-28-pouces
10344	TAC 0214	accessoires	plateau-de-protection-pour-timbale-premier-elite-25-pouces
10345	TAC 0215	accessoires	plateau-de-protection-pour-timbale-premier-elite-22-5-pouces
10346	TAC 0221	accessoires	plateau-de-protection-pour-timbale-premier-32-pouces-concert-ou-pro-symphonic
10347	TAC 0222	accessoires	plateau-de-protection-pour-timbale-premier-30-pouces-concert-ou-pro-symphonic
10348	TAC 0223	accessoires	plateau-de-protection-pour-timbale-premier-28-pouces-concert-ou-pro-symphonic
5254	TAC 0020 05	accessoires	housse-pour-timbale-adams-20-pouces
5256	TAC 0023 05	accessoires	housse-pour-timbale-adams-23-pouces
5260	TAC 0029 05	accessoires	housse-pour-timbale-adams-29-pouces
5269	TAC 0202 63	accessoires	plateau-de-protection-pour-timbale-adams-29-pouces
5270	TAC 0203 63	accessoires	plateau-de-protection-pour-timbale-adams-26-pouces
5273	TAC 0211 63	accessoires	plateau-de-protection-pour-timbale-premier-elite-32-pouces
5276	TAC 0214 63	accessoires	plateau-de-protection-pour-timbale-premier-elite-25-pouces
5277	TAC 0215 63	accessoires	plateau-de-protection-pour-timbale-premier-elite-22-5-pouces
5281	TAC 0224 63	accessoires	plateau-de-protection-pour-timbale-premier-25-pouces-concert-ou-pro-symphonic
5282	TAC 0225 63	accessoires	plateau-de-protection-pour-timbale-premier-22-5-pouces-concert-ou-pro-symphonic
5283	TAC 0320 05	accessoires	housse-pour-timbale-majestic
5528	TMG C120 05	classiques	timbale-majestic-grand-symphonic-martele-20-pouces-
5530	TMG C126 05	classiques	timbale-majestic-grand-symphonic-martele-26-pouces-
5531	TMG C129 05	classiques	timbale-majestic-grand-symphonic-martele-29-pouces-
5532	TMG C132 05	classiques	timbale-majestic-grand-symphonic-martele-32-pouces-
5559	TMS C123 05	classiques	timbale-majestic-symphonic-cuivre-martele-23-pouces-
5640	TPF 0132 05	classiques	timbale-adams-professionnel-fibre-de-verre-32-pouces-
5688	TSC 0123 05	classiques	timbale-adams-symphonic-cuivre-profond-23-pouces-
5692	TSC 0129 05	classiques	timbale-adams-symphonic-cuivre-profond-29-pouces-
5720	TAUN CL 20R	classiques	adams-universel-20-pouces-cuivre-lisse-parabolique
7496	TARE FV 23R	classiques	adams-revolution-23-pouces-fibre-de-verre
10349	TAC 0224	accessoires	plateau-de-protection-pour-timbale-premier-25-pouces-concert-ou-pro-symphonic
10655	TAPR CM 32RFT	classiques	adams-professionnel-generation-ii-32pouces-cuivre-martele-parabolique-manette-accord-fin
10656	TAPR CM 23RFT	classiques	adams-professionnel-generation-ii-23pouces-cuivre-martele-parabolique-manette-accord-fin
10657	TAPR CM 20RFT	classiques	adams-professionnel-generation-ii-20pouces-cuivre-martele-parabolique-manette-accord-fin
10755	TPS CL-J4	classiques	jeu-de-4-timbales-premier-pro-symphonic-cuivre-lisse-parabolique
11224	SLD 0010	accessoires	slidtune-gauge-electronique-timbalier
11230	TY33 3323EA	classiques	yamaha-serie-3300-23pouces-aluminium
11283	TPE CL-J2	classiques	jeu-de-2-timbales-premier-elite-28-30pouces-cuivre-lisse-parabolique
11291	TY33 33-J3	classiques	lot-de-timbales-yamaha-serie-3300-23-26-29pouces
11495	TAUN FV 20R+H	classiques	adams-universel-20pouces-fibre-de-verre-parabolique-housse
11497	TAUN FV 26R+H	classiques	adams-universel-26pouces-fibre-de-verre-parabolique-housse
11498	TAUN FV 29R+H	classiques	adams-universel-29pouces-fibre-de-verre-parabolique-housse
11499	TAUN FV 32R+H	classiques	adams-universel-32pouces-fibre-de-verre-parabolique
11861	TASY CL 32R+H+C	classiques	adams-symphonic-ii-32pouces-cuivre-lisse-parabolique-housse-controleur-de-peau
11862	TASY CL 29R+H+C	classiques	adams-symphonic-ii-29pouces-cuivre-lisse-parabolique-housse-controleur-de-peau
11863	TASY CL 26R+H+C	classiques	adams-symphonic-ii-26pouces-cuivre-lisse-parabolique-housse-controleur-de-peau
11864	TASY CL 23R+H+C	classiques	adams-symphonic-ii-23pouces-cuivre-lisse-parabolique-housse-controleur-de-peau
11867	TAUN FV 32R+H+C	classiques	adams-universel-32pouces-fibre-de-verre-parabolique-housse-controleur-de-peau
11868	TAUN FV 26R+H+C	classiques	adams-universel-26pouces-fibre-de-verre-parabolique-housse-controleur-de-peau
12289	TPE 0032 G2	classiques	timbale-premier-elite-nouvelle-generation-32pouces-cuivre-lisse-parabolique
12290	TPE 0029 G2	classiques	timbale-premier-elite-nouvelle-generation-29pouces-cuivre-lisse-parabolique
12291	TPE 0026 G2	classiques	timbale-premier-elite-nouvelle-generation-26pouces-cuivre-lisse-parabolique
12292	TPE 0023 G2	classiques	timbale-premier-elite-nouvelle-generation-23pouces-cuivre-lisse-parabolique
12293	TPE 0020 G2	classiques	timbale-premier-elite-nouvelle-generation-20pouces-cuivre-lisse-parabolique
1	ACC CT10 06	accessoires	controleur-de-tension-de-peau
10337	TAC 0202	accessoires	plateau-de-protection-pour-timbale-adams-29-pouces
10350	TAC 0225	accessoires	plateau-de-protection-pour-timbale-premier-22-5-pouces-concert-ou-pro-symphonic
11496	TAUN FV 23R+H	classiques	adams-universel-23pouces-fibre-de-verre-parabolique-housse
11869	TAUN FV 23R+H+C	classiques	adams-universel-23pouces-fibre-de-verre-parabolique-housse-controleur-de-peau
11870	TAUN FV 20R+H+C	classiques	adams-universel-20pouces-fibre-de-verre-parabolique-housse-controleur-de-peau
