id	ref	cat2	cat3	slug
798	CIS HH14 06	metaux	cymbales	cymbale-istanbul-agop-hit-hat-heavy-14-pouces
804	CIS JR20 06	metaux	cymbales	cymbale-istanbul-jazz-ride-20-pouces-51-cm
805	CIS JR22 06	metaux	cymbales	cymbale-istanbul-jazz-ride-22-pouces-56-cm
810	CIS MC16 06	metaux	cymbales	cymbale-istanbul-agop-medium-crash-16-pouces
812	CIS MC18 06	metaux	cymbales	cymbale-istanbul-agop-medium-crash-18-pouces
822	CIS MR20 06	metaux	cymbales	cymbale-istanbul-agop-medium-ride-20-pouces
823	CIS MR21 06	metaux	cymbales	cymbale-istanbul-agop-medium-ride-21-pouces
829	CIS OF14 06	metaux	cymbales	cymbales-d-orchestre-istanbul-agop-14-pouces
831	CIS OF16 06	metaux	cymbales	cymbales-d-orchestre-istanbul-agop-16-pouces
833	CIS OF18 06	metaux	cymbales	cymbales-d-orchestre-istanbul-agop-18-pouces
835	CIS OF20 06	metaux	cymbales	cymbales-d-orchestre-istanbul-agop-20-pouces
856	CIS SP08 06	metaux	cymbales	cymbale-istanbul-agop-splash-8-pouces
857	CIS SP10 06	metaux	cymbales	cymbale-istanbul-agop-splash-10-pouces
858	CIS SP11 06	metaux	cymbales	cymbale-istanbul-agop-splash-11-pouces
863	CIS TC13 06	metaux	cymbales	cymbale-istanbul-agop-thin-crash-13-pouces
865	CIS TC14 06	metaux	cymbales	cymbale-istanbul-agop-thin-crash-14-pouces
867	CIS TC16 06	metaux	cymbales	cymbale-istanbul-agop-thin-crash-16-pouces
869	CIS TC18 06	metaux	cymbales	cymbale-istanbul-thin-crash-18-pouces-46-cm
934	CLV 0001 06	bois	castagnettes-claves	paire-de-claves-wenge-en-bois-dur
935	CLV 2001 06	bois	castagnettes-claves	paire-de-claves-en-palissandre
936	CLV 2002 06	bois	castagnettes-claves	paire-de-claves-en-bois
937	CLV 5001 06	bois	castagnettes-claves	paire-de-claves-en-fibre-de-verre
945	CNG ML MCC11SNT	instruments-peaux	bongos-congas-et-timbales-latines	conga-meinl-marathon-11-pouces-avec-panier
946	CNG ML MCC1134S	instruments-peaux	bongos-congas-et-timbales-latines	conga-meinl-marathon-11-pouces-3-4-avec-panier
947	CNG ML MCC1212S	instruments-peaux	bongos-congas-et-timbales-latines	conga-meinl-marathon-12-pouces-1-2-avec-panier
952	CNG 3101 06	instruments-peaux	bongos-congas-et-timbales-latines	tumba-michel-delaporte-new-habana-frene-12-pouces-1-2
953	CNG 3102 06	instruments-peaux	bongos-congas-et-timbales-latines	conga-michel-delaporte-new-habana-frene-11-pouces-3-4
954	CNG 3103 06	instruments-peaux	bongos-congas-et-timbales-latines	quinto-michel-delaporte-new-habana-frene-10-pouces
983	COW 1201 06	metaux	cloches-vache-cencerros-cloche-latines	cloche-agogo-a-2-cloches
