id	ref	cat3	slug	page_title
6628	MAR R420 04	marimbas	marimba-ross-prolon-4-octaves-1-3	Marimba ROSS Prolon 4 octaves 1/3, Padouk - Marimbas - Instruments de percussion
6633	CLT R610 04	cloches-tubes	cloches-tubes-ross-symphonic-1-octave-1-2	Cloches-tubes Ross Symphonic - Cloches-tubes - Instruments de percussion
6776	XYL 40ADXKV4	xylophones	xylophone-adams-solist-voyager-4-octaves-synthetique	Xylophone ADAMS XS2KV40 Solist Voyager 4 octaves do4-do8, Clavier Composite - Xylophones - Instruments de percussion
6795	CLT 0007 04	cloches-tubes	chassis-support-pour-7-cloche-tubes-sans-etouffoir	Support pour 7 cloche-tubes (sans étouffoir) - Cloches-tubes - Instruments de percussion
6827	GLO 33ADAA33	glockenspiels	glockenspiel-adams-artist-voyager-3-octaves-1-3-do5-mi8	glockenspiel à pédale ADAMS GAT333 octaves 1/3, do5-mi8 - Glockenspiels - Instruments de percussion
6832		vibraphones	vibraphone-yamaha-2700-3-octaves	
6928	VIB 30ADA200	vibraphones	vibraphone-adams-concert-3-octaves	Vibraphone ADAMS Concert 3 octaves fa3-fa6clavier argenté avec moteur (demo) - Vibraphones - Instruments de percussion
6929	VIB 30ADA2SM	vibraphones	vibraphone-adams-concert-3-octaves-sans-moteur	Vibraphone ADAMS Concert 3 octaves fa3-fa6clavier argenté avec moteur (ancien modèle) - Vibraphones - Instruments de percussion
6930	VIB 31ADA300	vibraphones	vibraphone-adams-solist-3-1-octaves	Vibraphone ADAMS VSWV31 Solist 3.1 octaves mi3-fa6clavier argenté avec moteur (ancien modèle) - Vibraphones - Instruments de percussion
6931	VIB 31ADSVSSM	vibraphones	vibraphone-adams-solist-3-1-octaves	Vibraphone ADAMS VSWV31 Solist 3.1 octaves mi3-fa6Clavier argenté sans moteur - Vibraphones - Instruments de percussion
7044	MAR 45CO8001R	marimbas	marimba-concorde-8001r-4-octaves-1-2	Marimba CONCORDE M8001 SP4 octaves 1/2 fa2-do7, Clavier Palissandre du Honduras - Marimbas - Instruments de percussion
7114	MAR 50CO7000	marimbas	marimba-concorde-7000-5-octaves	Marimba CONCORDE M70005 octaves do2-do7, Clavier Palissandre du Honduras - Marimbas - Instruments de percussion
7140	CLT 3007 04	cloches-tubes	chassis-adams-support-pour-7-cloches-tubes	Support Adams pour 7 cloches-tubes - Cloches-tubes - Instruments de percussion
7141	CLT 3007R04	cloches-tubes	chassis-adams-pour-7-cloches-tubes-etouffoir-reglable	Châssis ADAMS pour 7 cloches-tubes + étouffoir + réglable - Cloches-tubes - Instruments de percussion
7175	VIB 30YA520	vibraphones	vibraphone-yamaha-520-3-octaves-clavier-argente	Vibraphone YAMAHA YV-⁠520 3 octaves fa3-fa6clavier argenté avec moteur (ancien modèle) - Vibraphones - Instruments de percussion
7312	CLT 5013S04	cloches-tubes	extension-cloches-tubes-adams-philharmonic-satine-1-2-octave	Extensions ADAMS BKL 5200 pour cloche-tubes ADAMS 18 tubes Philharmonic 1 octave 1/2 laiton satiné - Cloches-tubes - Instruments de percussion
7396	MAR 43ADMCKV	marimbas	marimba-adams-mckv43-concert-4-octaves-1-3	Marimba ADAMS MCKV43 Concert Voyager4 octaves 1/3 la2-do7, Clavier Composite - Marimbas - Instruments de percussion
7510	MAR 50YA6100	marimbas	marimba-yamaha-6100-grand-concert-5-octaves	Marimba YAMAHA 6100 Grand Concert5 octaves do2-do7, Clavier Palissandre du Honduras - Marimbas - Instruments de percussion
7533	MAR AHV1EXTENS	marimbas	extension-5-octaves-pour-marimba-adams-artist-4-oct-1-3	Extension 2MBA2HRVAC 5 octaves pour marimba ADAMS Robert Van Sice 4°octaves°1/3 réf. MAR 43ADAHV1 - Marimbas - Instruments de percussion
7584	CLT 5013 04	cloches-tubes	extension-cloches-tubes-adams-philharmonic-chrome-1-2-octave	Extensions ADAMS BKL 5200 pour cloche-tubes ADAMS 18 tubes Philharmonic 1 octave 1/2 laiton chromé - Cloches-tubes - Instruments de percussion
7716	XYL 40CO4002G	xylophones	xylophone-concorde-4002ga-4-octaves-padouk	Xylophone CONCORDE  4 octaves do4-do8, Clavier Padouk - Xylophones - Instruments de percussion
7732	MAR 50ADAHC5C	marimbas	marimba-adams-mahcc50-custom-classic-5-octaves	Marimba ADAMS MAHCC50 Custom Classic5 octaves do2-do7, Clavier Palissandre du Honduras - Marimbas - Instruments de percussion
7814	MAR 5100A+ET	marimbas	marimba-yamaha-5-octaves-kym-5100-a-etuis	Marimba YAMAHA YM-⁠5100A5 octaves - Palissandre du Honduras+ 8 étuis de transport souples - Marimbas - Instruments de percussion
7816	VIB 30MUM55+VL	vibraphones	vibraphone-musser-m55-pro-vibe-3-octaves-valise-lames	Vibraphone MUSSER M55 Pro-⁠Vibe 3 octaves, clavier argenté + valise de transport pour clavier (ancien modèle) - Vibraphones - Instruments de percussion
7818	XYL 0001+PIE	xylophones	xylophone-d-etude-rythmes-sons-3-octaves-1-2	Xylophone d'étude RYTHMES & SONS avec son pied réglable3 octaves 1/2 - Padouk - Xylophones - Instruments de percussion
